Département;Participation;Hollande;Sarkozy;Le Pen;Mélenchon;Bayrou;Joly;Dupont-Aignan;Poutou;Arthaud;Cheminade
AIN;83.2;22.8;30.4;20.7;9.6;10.2;2.3;2.2;1.0;0.6;0.3
AISNE;80.6;27.1;24.2;26.3;10.2;6.7;1.2;2.0;1.3;0.8;0.3
ALLIER;82.3;29.7;24.0;18.3;13.6;8.7;1.6;2.0;1.3;0.7;0.2
ALPES DE HAUTE PROVENCE;83.0;24.4;25.5;20.7;15.2;7.4;2.9;1.8;1.4;0.5;0.3
HAUTES ALPES;82.9;24.5;26.1;17.7;14.0;9.9;3.6;2.1;1.3;0.6;0.2
ALPES MARITIMES;79.4;19.2;37.2;23.5;8.5;6.7;2.2;1.6;0.7;0.3;0.2
ARDECHE;84.2;26.0;23.8;20.0;14.1;9.2;2.8;1.9;1.4;0.6;0.3
ARDENNES;79.4;28.9;24.4;24.5;9.3;7.5;1.2;1.8;1.3;0.8;0.2
ARIEGE;84.1;34.4;18.7;16.8;16.9;6.7;2.9;1.5;1.5;0.6;0.2
AUBE;81.4;22.8;30.3;25.1;7.9;8.4;1.4;2.2;1.0;0.6;0.3
AUDE;83.5;30.4;21.6;23.2;13.2;6.0;2.1;1.5;1.3;0.5;0.2
AVEYRON;85.3;29.4;25.5;14.1;12.3;12.6;2.3;1.7;1.3;0.5;0.2
BOUCHES DU RHONE;80.4;24.5;27.5;23.4;13.4;6.4;2.1;1.4;0.8;0.4;0.2
CALVADOS;83.2;29.3;27.3;16.2;10.6;10.1;2.1;2.1;1.3;0.7;0.3
CANTAL;83.2;30.8;28.6;15.1;9.0;11.2;1.6;1.7;1.2;0.6;0.2
CHARENTE;82.1;32.8;23.1;17.7;11.3;8.8;1.8;2.0;1.5;0.7;0.3
CHARENTE MARITIME;81.9;28.5;28.1;17.5;10.4;9.1;2.2;2.1;1.4;0.6;0.2
CHER;80.4;26.8;25.0;19.7;13.8;8.8;1.6;2.1;1.2;0.8;0.2
CORREZE;85.4;43.0;21.6;13.3;10.6;6.9;1.4;1.7;1.0;0.4;0.2
CORSE SUD;74.3;22.3;31.8;25.7;9.7;5.5;2.2;1.1;1.2;0.3;0.2
HAUTE CORSE;74.3;26.0;31.1;23.3;10.0;4.6;2.3;1.1;1.2;0.3;0.2
COTE D'OR;83.0;27.8;28.6;18.8;9.5;9.4;2.1;2.0;1.1;0.6;0.2
COTES D'ARMOR;85.7;33.0;23.9;13.6;12.2;10.6;2.8;1.7;1.3;0.7;0.2
CREUSE;82.2;34.0;22.2;16.3;13.0;8.3;1.8;1.9;1.5;0.7;0.3
DORDOGNE;84.8;32.1;22.9;17.0;13.7;8.1;2.1;1.9;1.4;0.6;0.2
DOUBS;82.8;26.3;28.5;19.2;11.0;8.8;2.4;1.8;1.2;0.7;0.3
DROME;83.1;25.1;26.1;21.0;12.1;8.9;2.9;1.9;1.1;0.7;0.3
EURE;81.5;24.7;27.8;22.8;10.3;8.4;1.7;2.1;1.4;0.7;0.3
